Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Afmetingen (product.metafields.custom.afmetingen),Besturingssysteem (product.metafields.custom.besturingssysteem),Bluetooth (product.metafields.custom.bluetooth),Connector Pin (product.metafields.custom.connector_pin),Display Poort (product.metafields.custom.display_poort),Draadloos (Wifi) (product.metafields.custom.draadloos_wifi),Draaibaar (product.metafields.custom.draaibaar),Finger Print Reader (product.metafields.custom.finger_print_reader),Formaat (product.metafields.custom.formaat),Gewicht (product.metafields.custom.gewicht),HDMI (product.metafields.custom.hdmi),Hoogte verstelbaar (product.metafields.custom.hoogte_verstelbaar),Ingangsstroom (product.metafields.custom.ingangsstroom),Kantelbaar (product.metafields.custom.kantelbaar),Keyboard Taal (product.metafields.custom.keyboard_taal),Keyboard Verlichting (product.metafields.custom.keyboard_verlichting),korte_product_info (product.metafields.custom.korte_product_info),Model (product.metafields.custom.model),Netwerk / LAN (product.metafields.custom.netwerk_lan),Nieuwprijs was (product.metafields.custom.nieuwprijs_was),Processor (product.metafields.custom.processor_type),RAM geheugen (product.metafields.custom.ram_geheugen),Schermdiagonaal (product.metafields.custom.schermdiagonaal),Schermresolutie (product.metafields.custom.schermresolutie),Smart Card Reader (product.metafields.custom.smart_card_reader),Speaker (product.metafields.custom.speaker),Totale opslagcapaciteit (product.metafields.custom.totale_opslagcapaciteit),Touch Screen (product.metafields.custom.touch_screen),Type opslag (product.metafields.custom.type_opslag),Uitgangsstroom (product.metafields.custom.uitgangsstroom),USB 2.0 Type A (product.metafields.custom.usb_2_0_type_a),USB 3.2 Gen 1 Type A (product.metafields.custom.usb_3_2_gen_1_x_1_type_a),USB 3.2 Gen 1 Type C (product.metafields.custom.usb_3_2_gen_1_x_1_type_c),USB 3.2 Gen 2 Type C (product.metafields.custom.usb_3_2_gen_2_x_1_type_c),USB 3.2 Thunderbolt 3 (product.metafields.custom.usb_3_2_thunderbolt_3),USB 3.2 Thunderbolt 4 (product.metafields.custom.usb_3_2_thunderbolt_4),USB-A (product.metafields.custom.usb_a),USB-B (product.metafields.custom.usb_b),USB-C (product.metafields.custom.usb_c),USB-C met Displayport functie (product.metafields.custom.usb_c_met_displayport_functie),Videokaart (product.metafields.custom.videokaart),Wattage (product.metafields.custom.wattage),Webcam (product.metafields.custom.webcam),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Computer form (product.metafields.shopify.computer-form),Computer specialized features (product.metafields.shopify.computer-specialized-features),Connection type (product.metafields.shopify.connection-type),Cosmetic condition (product.metafields.shopify.cosmetic-condition),Display resolution (product.metafields.shopify.display-resolution),Graphics card type (product.metafields.shopify.graphics-card-type),Memory technology (product.metafields.shopify.memory-technology),Operating system (product.metafields.shopify.operating-system),Processor family (product.metafields.shopify.processor-family),Storage types supported (product.metafields.shopify.storage-types-supported),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hp-zbook-power-g8-2,HP Zbook Power G8,"<h3 data-start=""140"" data-end=""229""><strong data-start=""144"" data-end=""229"">HP ZBook Power 15 G8 – 15,6″ mobile workstation met NVIDIA T1200 grafische kracht</strong></h3>
<p data-start=""231"" data-end=""554"">De HP ZBook Power 15 G8 is een robuuste en krachtige mobile workstation voor professionals die werken met technische, creatieve of data-intensieve toepassingen. Met een 11e generatie Intel Core i7-processor, 32 GB RAM en NVIDIA T1200 grafische kaart is dit systeem gebouwd voor topprestaties, zowel op kantoor als onderweg.</p>
<p data-start=""556"" data-end=""588""><strong data-start=""556"" data-end=""588"">Belangrijkste specificaties:</strong></p>
<ul data-start=""589"" data-end=""883"">
<li data-start=""589"" data-end=""651"">
<p data-start=""591"" data-end=""651""><strong data-start=""591"" data-end=""605"">Processor:</strong> Intel Core i7-11850H (8 cores, tot 4,8 GHz)</p>
</li>
<li data-start=""652"" data-end=""694"">
<p data-start=""654"" data-end=""694""><strong data-start=""654"" data-end=""667"">Geheugen:</strong> 32 GB DDR4 RAM (1×32 GB)</p>
</li>
<li data-start=""695"" data-end=""731"">
<p data-start=""697"" data-end=""731""><strong data-start=""697"" data-end=""708"">Opslag:</strong> 500 GB PCIe NVMe SSD</p>
</li>
<li data-start=""732"" data-end=""799"">
<p data-start=""734"" data-end=""799""><strong data-start=""734"" data-end=""750"">Beeldscherm:</strong> 15,6 inch Full HD (1920 × 1080), antireflectie</p>
</li>
<li data-start=""800"" data-end=""843"">
<p data-start=""802"" data-end=""843""><strong data-start=""802"" data-end=""815"">Grafisch:</strong> NVIDIA T1200 (4 GB GDDR6)</p>
</li>
<li data-start=""844"" data-end=""883"">
<p data-start=""846"" data-end=""883""><strong data-start=""846"" data-end=""868"">Besturingssysteem:</strong> Windows 11 Pro</p>
</li>
</ul>
<p data-start=""885"" data-end=""1145""><strong data-start=""885"" data-end=""913"">Ontwerp en bouwkwaliteit</strong><br data-start=""913"" data-end=""916"">De ZBook Power G8 is gebouwd voor duurzaamheid en voldoet aan MIL-STD 810H-normen. Het slanke maar stevige chassis, gecombineerd met smalle schermranden, maakt dit model geschikt voor intensief dagelijks gebruik en mobiel werken.</p>
<p data-start=""1147"" data-end=""1173""><strong data-start=""1147"" data-end=""1173"">Beveiliging en privacy</strong></p>
<ul data-start=""1174"" data-end=""1343"">
<li data-start=""1174"" data-end=""1224"">
<p data-start=""1176"" data-end=""1224"">Vingerafdruklezer voor veilige en snelle login</p>
</li>
<li data-start=""1225"" data-end=""1262"">
<p data-start=""1227"" data-end=""1262"">TPM 2.0-chip voor databeveiliging</p>
</li>
<li data-start=""1263"" data-end=""1293"">
<p data-start=""1265"" data-end=""1293"">Webcam met privacy shutter</p>
</li>
<li data-start=""1294"" data-end=""1343"">
<p data-start=""1296"" data-end=""1343"">HP Wolf Security en Sure Start BIOS-bescherming</p>
</li>
</ul>
<p data-start=""1345"" data-end=""1363""><strong data-start=""1345"" data-end=""1363"">Connectiviteit</strong></p>
<ul data-start=""1364"" data-end=""1505"">
<li data-start=""1364"" data-end=""1388"">
<p data-start=""1366"" data-end=""1388"">Wi-Fi 6 en Bluetooth</p>
</li>
<li data-start=""1389"" data-end=""1429"">
<p data-start=""1391"" data-end=""1429"">USB-C met Thunderbolt en DisplayPort</p>
</li>
<li data-start=""1430"" data-end=""1464"">
<p data-start=""1432"" data-end=""1464"">Meerdere USB-A poorten en HDMI</p>
</li>
<li data-start=""1465"" data-end=""1486"">
<p data-start=""1467"" data-end=""1486"">LAN-poort (RJ-45)</p>
</li>
<li data-start=""1487"" data-end=""1505"">
<p data-start=""1489"" data-end=""1505"">Audioaansluiting</p>
</li>
</ul>",Ecomputer,Electronics > Computers > Laptops,Laptop,"conditie-5, Intel Core i7, Renewed, Windows 11 Pro",false,Title,Default Title,,,,,,,,4R6333142,0.0,shopify,44,deny,manual,655.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0920/0196/0270/files/HPZbookPowerG8-Vooraanzicht-Webp_90084889-f299-4278-90c0-af18ca774852.webp?v=1754899930,1,HP Zbook Power G8 - Laptop,false,HP Zbook Power G8 - Huren | Ecomputer,"De HP ZBook Power 15 G8 is een robuuste en krachtige mobile workstation voor professionals die werken met technische, creatieve of data-intensieve toepassingen. Met een 11e generatie Intel Core i7-processor.",,,,,,,,,,,,,Windows 11 Pro,Ja,,,Ja,,Ja,,,,,,,US-NL,,"ZBook Power 15 G8 / i7-11850H / 32GB / 500GB-NVMe / 15.6"" FHD / Windows 11 Pro",HP Zbook Power G8,,2700.00 EUR,Intel Core i7-11850H,32GB,"15.6""",1920 x 1080 FHD,,,500GB,Nee,NVMe SSD,,,,,,,,,,,,,,Ja,,grijs,workstation-mobile,bios-beveiliging; tpm-trusted-platform-module,wifi; bluetooth; usb; thunderbolt; displaypoort,renewed,1920-x-1080,geintegreerd,ddr4,windows-11,intel-core-i7-1,pcie-nvme-ssd,,,,,,kg,,,draft
hp-zbook-power-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/HPZbookPowerG8-Schuinlinks-Webp_9579f9bd-a74a-4b90-b9aa-2e0f21415d9a.webp?v=1754899929,2,HP Zbook Power G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-power-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/HPZbookPowerG8-Schuinrechts-Webp_3afddc06-c179-4271-82a7-e12f82c30dae.webp?v=1754899928,3,HP Zbook Power G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-power-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/HPZbookPowerG8-Zijkanten-Webp_fc398b65-987c-4415-a362-a47df53e09ce.webp?v=1754899928,4,HP Zbook Power G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-power-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/HPZbookPowerG8-Achterkant-Webp_1b23a1f2-5ca5-4fc4-87ab-fe57a9e0e356.webp?v=1754899929,5,HP Zbook Power G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-firefly-14-g8-2,HP Zbook Firefly 14 G8,"<h3 data-start=""133"" data-end=""217""><strong data-start=""137"" data-end=""217"">HP ZBook Firefly 14 G8 – Krachtige 14″ mobile workstation in compact formaat</strong></h3>
<p data-start=""219"" data-end=""561"">De HP ZBook Firefly 14 G8 is een lichte maar krachtige mobile workstation, ontworpen voor professionals die onderweg of op kantoor topprestaties verwachten. Met een 11e generatie Intel Core i7-processor, 16 GB RAM en ISV-gecertificeerde betrouwbaarheid is dit systeem geschikt voor zowel zakelijke toepassingen als lichte grafische workflows.</p>
<p data-start=""563"" data-end=""595""><strong data-start=""563"" data-end=""595"">Belangrijkste specificaties:</strong></p>
<ul data-start=""596"" data-end=""843"">
<li data-start=""596"" data-end=""658"">
<p data-start=""598"" data-end=""658""><strong data-start=""598"" data-end=""612"">Processor:</strong> Intel Core i7-1185G7 (4 cores, tot 4,8 GHz)</p>
</li>
<li data-start=""659"" data-end=""700"">
<p data-start=""661"" data-end=""700""><strong data-start=""661"" data-end=""674"">Geheugen:</strong> 16 GB DDR4 RAM (2×8 GB)</p>
</li>
<li data-start=""701"" data-end=""737"">
<p data-start=""703"" data-end=""737""><strong data-start=""703"" data-end=""714"">Opslag:</strong> 256 GB PCIe NVMe SSD</p>
</li>
<li data-start=""738"" data-end=""803"">
<p data-start=""740"" data-end=""803""><strong data-start=""740"" data-end=""756"">Beeldscherm:</strong> 14 inch Full HD (1920 × 1080), antireflectie</p>
</li>
<li data-start=""804"" data-end=""843"">
<p data-start=""806"" data-end=""843""><strong data-start=""806"" data-end=""828"">Besturingssysteem:</strong> Windows 11 Pro</p>
</li>
</ul>
<p data-start=""845"" data-end=""1126""><strong data-start=""845"" data-end=""873"">Ontwerp en bouwkwaliteit</strong><br data-start=""873"" data-end=""876"">De Firefly 14 G8 combineert een slank, professioneel design met een stevige aluminium behuizing. MIL-STD 810H-certificering garandeert duurzaamheid, terwijl het lichte gewicht en de smalle schermranden zorgen voor een moderne, draagbare werkervaring.</p>
<p data-start=""1128"" data-end=""1154""><strong data-start=""1128"" data-end=""1154"">Beveiliging en privacy</strong></p>
<ul data-start=""1155"" data-end=""1339"">
<li data-start=""1155"" data-end=""1183"">
<p data-start=""1157"" data-end=""1183"">TPM 2.0-beveiligingschip</p>
</li>
<li data-start=""1184"" data-end=""1214"">
<p data-start=""1186"" data-end=""1214"">Webcam met privacy shutter</p>
</li>
<li data-start=""1215"" data-end=""1271"">
<p data-start=""1217"" data-end=""1271"">HP Sure Start en ondersteuning voor HP Wolf Security</p>
</li>
<li data-start=""1272"" data-end=""1339"">
<p data-start=""1274"" data-end=""1339"">Vingerafdruklezer optioneel (niet standaard in deze configuratie)</p>
</li>
</ul>
<p data-start=""1341"" data-end=""1359""><strong data-start=""1341"" data-end=""1359"">Connectiviteit</strong></p>
<ul data-start=""1360"" data-end=""1510"">
<li data-start=""1360"" data-end=""1384"">
<p data-start=""1362"" data-end=""1384"">Wi-Fi 6 en Bluetooth</p>
</li>
<li data-start=""1385"" data-end=""1425"">
<p data-start=""1387"" data-end=""1425"">USB-C met Thunderbolt en DisplayPort</p>
</li>
<li data-start=""1426"" data-end=""1460"">
<p data-start=""1428"" data-end=""1460"">Meerdere USB-A poorten en HDMI</p>
</li>
<li data-start=""1461"" data-end=""1510"">
<p data-start=""1463"" data-end=""1510"">Audioaansluiting en LAN via adapter (optioneel)</p>
</li>
</ul>",Ecomputer,Electronics > Computers > Laptops,Laptop,"conditie-5, Intel Core i7, Renewed, Windows 11 Pro",true,Title,Default Title,,,,,,,,4R6866142,3000.0,shopify,32,deny,manual,433.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0920/0196/0270/files/hp-zbook-firefly-14-g8-laptop-265.webp?v=1762259812,1,HP Zbook Firefly 14 G8 - Laptop,false,HP Zbook Firefly 14 G8 - Huren | Ecomputer,"De HP ZBook Firefly 14 G8 is een lichte maar krachtige mobile workstation, ontworpen voor professionals die onderweg of op kantoor topprestaties verwachten. Met een 11e generatie Intel Core i7-processor.",,,,,,,,,,,,,Windows 11 Pro,Ja,,,Ja,,Nee,,,,,,,US-NL,,"ZBook Firefly 14 G8 / i7-1185G7 / 16GB / 256GB-NVMe / 14"" FHD / Windows 11 Pro",HP Zbook Firefly 14 G8,,1500.00 EUR,Inter Core i7-1185G7,16GB,"14""",1920 x 1080 FHD,,,256GB,Nee,NVMe SSD,,,,,,,,,,,,,,Ja,,grijs; zwart,workstation-mobile,tpm-trusted-platform-module,wifi; bluetooth; usb; thunderbolt; displaypoort,renewed,1920-x-1080,vakonderwijs,ddr4,windows-11,intel-core-i7-1,pcie-nvme-ssd,,,,,,kg,,,active
hp-zbook-firefly-14-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/hp-zbook-firefly-14-g8-laptop-927.webp?v=1762259818,2,HP Zbook Firefly 14 G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-firefly-14-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/hp-zbook-firefly-14-g8-laptop-921.webp?v=1762259823,3,HP Zbook Firefly 14 G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-firefly-14-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/hp-zbook-firefly-14-g8-laptop-527.webp?v=1762259829,4,HP Zbook Firefly 14 G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp-zbook-firefly-14-g8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/0196/0270/files/hp-zbook-firefly-14-g8-laptop-512.webp?v=1762259834,5,HP Zbook Firefly 14 G8 - Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
